,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Type,Unnamed: 6,Date,Unnamed: 8,Num,Unnamed: 10,Memo,Unnamed: 12,Name,Unnamed: 14,Item,Unnamed: 16,Qty,Unnamed: 18,Sales Price,Unnamed: 20,Amount,Unnamed: 22,Balance
25,,,Total 8498,,,,,,,,,,,,,,,1.00,,,,"24,550.00",,"24,550.00"
26,,,M4028,,,,,,,,,,,,,,,,,,,,,
27,,,,,,Invoice,,09/14/2018,,14024.0,,(600 pcs.) Progress Samples of conductive polymer electrode MT1 using CF-235 material,,Allergan Inc.:M4028,,Svc:Micro Molding,,1.00,,"12,100.00",,"12,100.00",,"12,100.00"
28,,,Total M4028,,,,,,,,,,,,,,,1.00,,,,"12,100.00",,"12,100.00"
29,,,M4029,,,,,,,,,,,,,,,,,,,,,
30,,,,,,Invoice,,09/07/2018,,14012.0,,(600 pcs.) Progress Samples of conductive polymer electrode MT1 using CF-238 material,,Allergan Inc.:M4029,,Svc:Micro Molding,,1.00,,"7,960.00",,"7,960.00",,"7,960.00"
31,,,Total M4029,,,,,,,,,,,,,,,1.00,,,,"7,960.00",,"7,960.00"
32,,Total Allergan Inc.,,,,,,,,,,,,,,,,3.00,,,,"44,610.00",,"44,610.00"
33,,Arthrex Inc.,,,,,,,,,,,,,,,,,,,,,,
34,,,8481,,,,,,,,,,,,,,,,,,,,,
35,,,,,,Invoice,,01/31/2018,,13679.0,,3.9mm Swivelock (100pcs) adding the .033 diameter holes in 50 pcs and perform (1) piece FAI,,Arthrex Inc.:8481,,Svc:Machining,,0.50,,"14,350.00",,"7,175.00",,"7,175.00"
36,,,,,,Invoice,,03/09/2018,,13749.0,,3.9mm Swivelock (100pcs) adding the .033 diameter holes in 50 pcs and perform (1) piece FAI,,Arthrex Inc.:8481,,Svc:Machining,,0.50,,"14,350.00",,"7,175.00",,"14,350.00"
37,,,Total 8481,,,,,,,,,,,,,,,1.00,,,,"14,350.00",,"14,350.00"
38,,,M3445,,,,,,,,,,,,,,,,,,,,,
39,,,,,,Invoice,,01/12/2018,,13634.0,,OQ/PQ-Validation activities Swivelock 3.9mm,,Arthrex Inc.:M3445,,Svc:Micro Molding,,1.00,,"9,000.00",,"9,000.00",,"9,000.00"
40,,,Total M3445,,,,,,,,,,,,,,,1.00,,,,"9,000.00",,"9,000.00"
41,,,M3482,,,,,,,,,,,,,,,,,,,,,
42,,,,,,Invoice,,01/19/2018,,13648.0,,"MPI 1769 Threaded tensionable anchor-bioabsorbable part #C15627-01, MT2 Mold Trial",,Arthrex Inc.:M3482,,Svc:Micro Molding,,1.00,,"30,760.00",,"30,760.00",,"30,760.00"
43,,,Total M3482,,,,,,,,,,,,,,,1.00,,,,"30,760.00",,"30,760.00"
44,,,M3483,,,,,,,,,,,,,,,,,,,,,
45,,,,,,Invoice,,06/22/2018,,13910.0,,"MPI 1769 Threaded tensionable anchor-bioabsorbable part #C15627-01, Validation-OQ/PQ activities",,Arthrex Inc.:M3483,,Svc:Micro Molding,,1.00,,"43,605.00",,"43,605.00",,"43,605.00"
46,,,Total M3483,,,,,,,,,,,,,,,1.00,,,,"43,605.00",,"43,605.00"
47,,,M3617,,,,,,,,,,,,,,,,,,,,,
48,,,,,,Invoice,,06/22/2018,,13911.0,,MPI 1769-Threaded tensionable anchor-bioabsorbable part # C15627-01. -Bioabsorbable process deve...,,Arthrex Inc.:M3617,,Svc:Micro Molding,,1.00,,"14,810.00",,"14,810.00",,"14,810.00"
49,,,Total M3617,,,,,,,,,,,,,,,1.00,,,,"14,810.00",,"14,810.00"
50,,,M3618,,,,,,,,,,,,,,,,,,,,,
51,,,,,,Invoice,,06/22/2018,,13912.0,,MPI 1769-Threaded tensionable anchor-bioabsorbable part # C15627-01. - Warm Up & Process Stall S...,,Arthrex Inc.:M3618,,Svc:Micro Molding,,1.00,,"19,615.00",,"19,615.00",,"19,615.00"
52,,,Total M3618,,,,,,,,,,,,,,,1.00,,,,"19,615.00",,"19,615.00"
53,,,M3747,,,,,,,,,,,,,,,,,,,,,
54,,,,,,Invoice,,07/13/2018,,13941.0,,C13414-01 Rev. 0 3.9 mm Swivelock,,Arthrex Inc.:M3747,,Svc:Micro Molding,,524.00,,2.717,,"1,423.71",,"1,423.71"
55,,,Total M3747,,,,,,,,,,,,,,,524.00,,,,"1,423.71",,"1,423.71"
56,,,M4000,,,,,,,,,,,,,,,,,,,,,
57,,,,,,Invoice,,11/29/2018,,14152.0,,C15627-01 Threaded Tensionable Anchor Validation Activities,,Arthrex Inc.:M4000,,Svc:Micro Molding,,1.00,,"3,600.00",,"3,600.00",,"3,600.00"
58,,,Total M4000,,,,,,,,,,,,,,,1.00,,,,"3,600.00",,"3,600.00"
59,,,M4018,,,,,,,,,,,,,,,,,,,,,
60,,,,,,Invoice,,12/06/2018,,14166.0,,Threaded Tensionable Anchor C15627-01 Rev. 02,,Arthrex Inc.:M4018,,Svc:Micro Molding,,"5,000.00",,12.63,,"63,150.00",,"63,150.00"
61,,,Total M4018,,,,,,,,,,,,,,,"5,000.00",,,,"63,150.00",,"63,150.00"
62,,Total Arthrex Inc.,,,,,,,,,,,,,,,,"5,531.00",,,,"200,313.71",,"200,313.71"
63,,ArthroCare Costa Rica,,,,,,,,,,,,,,,,,,,,,,
64,,,M4103,,,,,,,,,,,,,,,,,,,,,
65,,,,,,Invoice,,12/04/2018,,14156.0,,"MR676 Rev. R Staple, Double Barbed Bone",,ArthroCare Costa Rica:M4103,,Svc:Micro Molding,,"25,000.00",,1.89,,"47,250.00",,"47,250.00"
66,,,Total M4103,,,,,,,,,,,,,,,"25,000.00",,,,"47,250.00",,"47,250.00"
67,,Total ArthroCare Costa Rica,,,,,,,,,,,,,,,,"25,000.00",,,,"47,250.00",,"47,250.00"
68,,Bard Brachytherapy Inc.,,,,,,,,,,,,,,,,,,,,,,
69,,,M3791,,,,,,,,,,,,,,,,,,,,,
70,,,,,,Invoice,,02/22/2018,,13723.0,,"Bulk Needle Plug RM81030107 Rev. 3, DWG0301097 Rev. 6",,Bard Brachytherapy Inc.:M3791,,Svc:Micro Molding,,"2,000.00",,4.556,,"9,112.00",,"9,112.00"
71,,,Total M3791,,,,,,,,,,,,,,,"2,000.00",,,,"9,112.00",,"9,112.00"
72,,,M4053,,,,,,,,,,,,,,,,,,,,,
73,,,,,,Invoice,,11/29/2018,,14140.0,,Bulk Needle Plug RM81030107 Rev. 4,,Bard Brachytherapy Inc.:M4053,,Svc:Micro Molding,,"2,000.00",,4.556,,"9,112.00",,"9,112.00"
74,,,Total M4053,,,,,,,,,,,,,,,"2,000.00",,,,"9,112.00",,"9,112.00"
75,,Total Bard Brachytherapy Inc.,,,,,,,,,,,,,,,,"4,000.00",,,,"18,224.00",,"18,224.00"
76,,Bard Puerto Rico,,,,,,,,,,,,,,,,,,,,,,
77,,,8487,,,,,,,,,,,,,,,,,,,,,
78,,,,,,Invoice,,10/05/2018,,14056.0,,"Level 2/Molding system/semi-annual/lubrication & function testing, schedule maintenance",,Bard Puerto Rico:8487,,Svc:Micro Molds,,1.00,,"1,200.00",,"1,200.00",,"1,200.00"
79,,,,,,Invoice,,10/05/2018,,14056.0,,Level 2/Molding system/annual mechanical & electrical Maintenance and calibration,,Bard Puerto Rico:8487,,Svc:Micro Molds,,1.00,,"4,800.00",,"4,800.00",,"6,000.00"
80,,,,,,Invoice,,10/05/2018,,14056.0,,"Level 2 EOAT/semi-annual maintenace of grip cylinders, springs & lubrication",,Bard Puerto Rico:8487,,Svc:Micro Molds,,1.00,,"3,300.00",,"3,300.00",,"9,300.00"
81,,,,,,Invoice,,10/05/2018,,14056.0,,Level 2/EOAT/annual/replace grip fingers,,Bard Puerto Rico:8487,,Svc:Micro Molds,,1.00,,"3,800.00",,"3,800.00",,"13,100.00"
82,,,Total 8487,,,,,,,,,,,,,,,4.00,,,,"13,100.00",,"13,100.00"
83,,,8488,,,,,,,,,,,,,,,,,,,,,
84,,,,,,Invoice,,10/05/2018,,14057.0,,"Level 2/molding system/semiannual lubrication & function testing, scheduled maintenance",,Bard Puerto Rico:8488,,Svc:Micro Molds,,1.00,,"1,200.00",,"1,200.00",,"1,200.00"
85,,,,,,Invoice,,10/05/2018,,14057.0,,"Level 2/EOAT/Semia-Annual Maintenance of grip cylinders, srpings & lubrication",,Bard Puerto Rico:8488,,Svc:Micro Molds,,1.00,,"3,300.00",,"3,300.00",,"4,500.00"
86,,,Total 8488,,,,,,,,,,,,,,,2.00,,,,"4,500.00",,"4,500.00"
87,,,M3544,,,,,,,,,,,,,,,,,,,,,
88,,,,,,Invoice,,01/04/2018,,13625.0,,Optifix - Post Molding IV Testing and Reporting RM3790220-December 2017,,Bard Puerto Rico:M3544,,Svc:Micro Molding,,3.00,,750.00,,"2,250.00",,"2,250.00"
89,,,Total M3544,,,,,,,,,,,,,,,3.00,,,,"2,250.00",,"2,250.00"
90,,,M3545,,,,,,,,,,,,,,,,,,,,,
91,,,,,,Invoice,,01/04/2018,,13624.0,,December 2017-Temperature Monitoring of Material and Product Storage  RM3793399 and RM3790220,,Bard Puerto Rico:M3545,,Svc:Micro Molding,,1.00,,800.00,,800.00,,800.00
92,,,Total M3545,,,,,,,,,,,,,,,1.00,,,,800.00,,800.00
93,,,M3721,,,,,,,,,,,,,,,,,,,,,
94,,,,,,Invoice,,01/02/2018,,13619.0,,"RM3790220 Rev. 6 Tack 0.024"" Guide Wire",,Bard Puerto Rico:M3721,,Svc:Micro Molding,,"50,000.00",,0.906,,"45,300.00",,"45,300.00"
95,,,,,,Invoice,,01/02/2018,,13619.0,,Shipping  ,,Bard Puerto Rico:M3721,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"45,310.00"
96,,,Total M3721,,,,,,,,,,,,,,,"50,001.00",,,,"45,310.00",,"45,310.00"
97,,,M3723,,,,,,,,,,,,,,,,,,,,,
98,,,,,,Invoice,,01/03/2018,,13620.0,,RM3793399 Rev. 17 Tack Absorbable,,Bard Puerto Rico:M3723,,Svc:Micro Molding,,"50,000.00",,0.962,,"48,100.00",,"48,100.00"
99,,,,,,Invoice,,01/03/2018,,13620.0,,Shipping  ,,Bard Puerto Rico:M3723,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"48,110.00"
100,,,Total M3723,,,,,,,,,,,,,,,"50,001.00",,,,"48,110.00",,"48,110.00"
101,,,M3724,,,,,,,,,,,,,,,,,,,,,
102,,,,,,Invoice,,01/10/2018,,13639.0,,RM3793399 Rev. 17 Tack Absorbable,,Bard Puerto Rico:M3724,,Svc:Micro Molding,,"50,000.00",,0.926,,"46,300.00",,"46,300.00"
103,,,,,,Invoice,,01/10/2018,,13639.0,,Shipping  ,,Bard Puerto Rico:M3724,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"46,310.00"
104,,,Total M3724,,,,,,,,,,,,,,,"50,001.00",,,,"46,310.00",,"46,310.00"
105,,,M3725,,,,,,,,,,,,,,,,,,,,,
106,,,,,,Invoice,,01/17/2018,,13650.0,,RM3793399 Rev. 17 Tack Absorbable,,Bard Puerto Rico:M3725,,Svc:Micro Molding,,"50,000.00",,0.926,,"46,300.00",,"46,300.00"
107,,,,,,Invoice,,01/17/2018,,13650.0,,Shipping  ,,Bard Puerto Rico:M3725,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"46,310.00"
108,,,Total M3725,,,,,,,,,,,,,,,"50,001.00",,,,"46,310.00",,"46,310.00"
109,,,M3737,,,,,,,,,,,,,,,,,,,,,
110,,,,,,Invoice,,01/29/2018,,13673.0,,RM3793399 Rev. 17 Tack Absorbable,,Bard Puerto Rico:M3737,,Svc:Micro Molding,,"75,000.00",,0.926,,"69,450.00",,"69,450.00"
111,,,,,,Invoice,,01/29/2018,,13673.0,,Shipping  ,,Bard Puerto Rico:M3737,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"69,460.00"
112,,,,,,Invoice,,02/07/2018,,13691.0,,RM3793399 Rev. 17 Tack Absorbable,,Bard Puerto Rico:M3737,,Svc:Micro Molding,,"75,000.00",,0.926,,"69,450.00",,"138,910.00"
113,,,,,,Invoice,,02/07/2018,,13691.0,,Shipping  ,,Bard Puerto Rico:M3737,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"138,920.00"
114,,,Total M3737,,,,,,,,,,,,,,,"150,002.00",,,,"138,920.00",,"138,920.00"
115,,,M3741,,,,,,,,,,,,,,,,,,,,,
116,,,,,,Invoice,,01/04/2018,,13626.0,,RM3793399 Sorbafix post molding IV testing & reporting-December 2017,,Bard Puerto Rico:M3741,,Svc:Micro Molding,,2.00,,750.00,,"1,500.00",,"1,500.00"
117,,,Total M3741,,,,,,,,,,,,,,,2.00,,,,"1,500.00",,"1,500.00"
118,,,M3769,,,,,,,,,,,,,,,,,,,,,
119,,,,,,Invoice,,01/04/2018,,13627.0,,RM3793783 Rev 2 Echo PS Connector,,Bard Puerto Rico:M3769,,Svc:Micro Molding,,"50,000.00",,0.702,,"35,100.00",,"35,100.00"
120,,,,,,Invoice,,01/04/2018,,13627.0,,Shipping  ,,Bard Puerto Rico:M3769,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"35,110.00"
121,,,Total M3769,,,,,,,,,,,,,,,"50,001.00",,,,"35,110.00",,"35,110.00"
122,,,M3796,,,,,,,,,,,,,,,,,,,,,
123,,,,,,Invoice,,02/26/2018,,13729.0,,"RM3793399 Rev. 17 Tack, Absorbable",,Bard Puerto Rico:M3796,,Svc:Micro Molding,,"50,000.00",,0.926,,"46,300.00",,"46,300.00"
124,,,,,,Invoice,,02/26/2018,,13729.0,,Shipping  ,,Bard Puerto Rico:M3796,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"46,310.00"
125,,,Total M3796,,,,,,,,,,,,,,,"50,001.00",,,,"46,310.00",,"46,310.00"
126,,,M3810,,,,,,,,,,,,,,,,,,,,,
127,,,,,,Invoice,,03/13/2018,,13752.0,,Echo PS Connector RM3793783 Rev 3,,Bard Puerto Rico:M3810,,Svc:Micro Molding,,"50,000.00",,0.702,,"35,100.00",,"35,100.00"
128,,,,,,Invoice,,03/13/2018,,13752.0,,Shipping  ,,Bard Puerto Rico:M3810,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"35,110.00"
129,,,Total M3810,,,,,,,,,,,,,,,"50,001.00",,,,"35,110.00",,"35,110.00"
130,,,M3816,,,,,,,,,,,,,,,,,,,,,
131,,,,,,Invoice,,01/03/2018,,13622.0,,"(200,000) Optifix RM 3790220 Rev 6",,Bard Puerto Rico:M3816,,Svc:Mico Molds/Micromolding,,"200,000.00",,0.906,,"181,200.00",,"181,200.00"
132,,,,,,Invoice,,01/03/2018,,13622.0,,Shipping  ,,Bard Puerto Rico:M3816,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"181,210.00"
133,,,Total M3816,,,,,,,,,,,,,,,"200,001.00",,,,"181,210.00",,"181,210.00"
134,,,M3817,,,,,,,,,,,,,,,,,,,,,
135,,,,,,Invoice,,02/05/2018,,13687.0,,"(100,000) Optifix RM 3790220 Rev 6",,Bard Puerto Rico:M3817,,Svc:Micro Molding,,"100,000.00",,0.906,,"90,600.00",,"90,600.00"
136,,,,,,Invoice,,02/05/2018,,13687.0,,Shipping  ,,Bard Puerto Rico:M3817,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"90,610.00"
137,,,Total M3817,,,,,,,,,,,,,,,"100,001.00",,,,"90,610.00",,"90,610.00"
138,,,M3818,,,,,,,,,,,,,,,,,,,,,
139,,,,,,Invoice,,03/05/2018,,13739.0,,"(100,000)Optifix RM 3790220 Rev 6",,Bard Puerto Rico:M3818,,Svc:Micro Molding,,"100,000.00",,0.906,,"90,600.00",,"90,600.00"
140,,,,,,Invoice,,03/05/2018,,13739.0,,Shipping  ,,Bard Puerto Rico:M3818,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"90,610.00"
141,,,Total M3818,,,,,,,,,,,,,,,"100,001.00",,,,"90,610.00",,"90,610.00"
142,,,M3819,,,,,,,,,,,,,,,,,,,,,
143,,,,,,Invoice,,04/03/2018,,13775.0,,"(75,000) Optifix RM 3790220 Rev 6",,Bard Puerto Rico:M3819,,Svc:Micro Molding,,"75,000.00",,0.906,,"67,950.00",,"67,950.00"
144,,,,,,Invoice,,04/03/2018,,13775.0,,Shipping  ,,Bard Puerto Rico:M3819,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"67,960.00"
145,,,Total M3819,,,,,,,,,,,,,,,"75,001.00",,,,"67,960.00",,"67,960.00"
146,,,M3820,,,,,,,,,,,,,,,,,,,,,
147,,,,,,Invoice,,05/02/2018,,13829.0,,"(50,000) Optifix RM 3790220 Rev 6",,Bard Puerto Rico:M3820,,Svc:Mico Molds/Micromolding,,"50,000.00",,0.906,,"45,300.00",,"45,300.00"
148,,,Total M3820,,,,,,,,,,,,,,,"50,000.00",,,,"45,300.00",,"45,300.00"
149,,,M3821,,,,,,,,,,,,,,,,,,,,,
150,,,,,,Invoice,,06/05/2018,,13876.0,,Optifix RM 3790220 Rev 6,,Bard Puerto Rico:M3821,,Svc:Micro Molding,,"75,000.00",,0.906,,"67,950.00",,"67,950.00"
151,,,Total M3821,,,,,,,,,,,,,,,"75,000.00",,,,"67,950.00",,"67,950.00"
152,,,M3822,,,,,,,,,,,,,,,,,,,,,
153,,,,,,Invoice,,07/09/2018,,13936.0,,"(50,000) Optifix RM 3790220 Rev 6",,Bard Puerto Rico:M3822,,Svc:Mico Molds/Micromolding,,"50,000.00",,0.906,,"45,300.00",,"45,300.00"
154,,,,,,Invoice,,07/09/2018,,13936.0,,Shipping  ,,Bard Puerto Rico:M3822,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"45,310.00"
155,,,Total M3822,,,,,,,,,,,,,,,"50,001.00",,,,"45,310.00",,"45,310.00"
156,,,M3823,,,,,,,,,,,,,,,,,,,,,
157,,,,,,Invoice,,03/06/2018,,13741.0,,"(50,000) Sorbafix Tack Absorbable RM 3793399 Rev 17",,Bard Puerto Rico:M3823,,Svc:Micro Molding,,"50,000.00",,0.926,,"46,300.00",,"46,300.00"
158,,,,,,Invoice,,03/06/2018,,13741.0,,Shipping  ,,Bard Puerto Rico:M3823,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"46,310.00"
159,,,Total M3823,,,,,,,,,,,,,,,"50,001.00",,,,"46,310.00",,"46,310.00"
160,,,M3824,,,,,,,,,,,,,,,,,,,,,
161,,,,,,Invoice,,03/20/2018,,13761.0,,"(50,000) Sorbafix Tack Absorbable RM 3793399 Rev 17",,Bard Puerto Rico:M3824,,Svc:Mico Molds/Micromolding,,"50,000.00",,0.926,,"46,300.00",,"46,300.00"
162,,,,,,Invoice,,03/20/2018,,13761.0,,Shipping  ,,Bard Puerto Rico:M3824,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"46,310.00"
163,,,Total M3824,,,,,,,,,,,,,,,"50,001.00",,,,"46,310.00",,"46,310.00"
164,,,M3825,,,,,,,,,,,,,,,,,,,,,
165,,,,,,Invoice,,04/10/2018,,13785.0,,Sorbafix Tack Absorbable RM 3793399 Rev 17,,Bard Puerto Rico:M3825,,Svc:Micro Molding,,"50,000.00",,0.926,,"46,300.00",,"46,300.00"
166,,,,,,Invoice,,04/10/2018,,13785.0,,Shipping  ,,Bard Puerto Rico:M3825,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"46,310.00"
167,,,Total M3825,,,,,,,,,,,,,,,"50,001.00",,,,"46,310.00",,"46,310.00"
168,,,M3826,,,,,,,,,,,,,,,,,,,,,
169,,,,,,Invoice,,04/18/2018,,13798.0,,"(50,000) Sorbafix Tack Absorbable RM 3793399 Rev 17",,Bard Puerto Rico:M3826,,Svc:Micro Molding,,"50,000.00",,0.926,,"46,300.00",,"46,300.00"
170,,,,,,Invoice,,04/18/2018,,13798.0,,Shipping  ,,Bard Puerto Rico:M3826,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"46,310.00"
171,,,Total M3826,,,,,,,,,,,,,,,"50,001.00",,,,"46,310.00",,"46,310.00"
172,,,M3827,,,,,,,,,,,,,,,,,,,,,
173,,,,,,Invoice,,05/01/2018,,13828.0,,"(50,000) Sorbafix Tack Absorbable RM 3793399 Rev 17",,Bard Puerto Rico:M3827,,Svc:Mico Molds/Micromolding,,"50,000.00",,0.926,,"46,300.00",,"46,300.00"
174,,,Total M3827,,,,,,,,,,,,,,,"50,000.00",,,,"46,300.00",,"46,300.00"
175,,,M3828,,,,,,,,,,,,,,,,,,,,,
176,,,,,,Invoice,,05/09/2018,,13834.0,,"(50,000) Sorbafix Tack Absorbable RM 3793399 Rev 17",,Bard Puerto Rico:M3828,,Svc:Mico Molds/Micromolding,,"50,000.00",,0.926,,"46,300.00",,"46,300.00"
177,,,Total M3828,,,,,,,,,,,,,,,"50,000.00",,,,"46,300.00",,"46,300.00"
178,,,M3829,,,,,,,,,,,,,,,,,,,,,
179,,,,,,Invoice,,05/30/2018,,13865.0,,"(50,000) Sorbafix Tack Absorbable RM 3793399 Rev 17",,Bard Puerto Rico:M3829,,Svc:Mico Molds/Micromolding,,"50,000.00",,0.926,,"46,300.00",,"46,300.00"
180,,,Total M3829,,,,,,,,,,,,,,,"50,000.00",,,,"46,300.00",,"46,300.00"
181,,,M3830,,,,,,,,,,,,,,,,,,,,,
182,,,,,,Invoice,,06/06/2018,,13878.0,,"(50,000) Sorbafix Tack Absorbable RM 3793399 Rev 17",,Bard Puerto Rico:M3830,,Svc:Mico Molds/Micromolding,,"50,000.00",,0.926,,"46,300.00",,"46,300.00"
183,,,Total M3830,,,,,,,,,,,,,,,"50,000.00",,,,"46,300.00",,"46,300.00"
184,,,M3831,,,,,,,,,,,,,,,,,,,,,
185,,,,,,Invoice,,07/02/2018,,13921.0,,"(50,000) Sorbafix Tack Absorbable RM 3793399 Rev 17",,Bard Puerto Rico:M3831,,Svc:Mico Molds/Micromolding,,"50,000.00",,0.926,,"46,300.00",,"46,300.00"
186,,,,,,Invoice,,07/02/2018,,13921.0,,Shipping  ,,Bard Puerto Rico:M3831,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"46,310.00"
187,,,Total M3831,,,,,,,,,,,,,,,"50,001.00",,,,"46,310.00",,"46,310.00"
188,,,M3832,,,,,,,,,,,,,,,,,,,,,
189,,,,,,Invoice,,07/09/2018,,13937.0,,"(50,000) Sorbafix Tack Absorbable RM 3793399 Rev 17",,Bard Puerto Rico:M3832,,Svc:Mico Molds/Micromolding,,"50,000.00",,0.926,,"46,300.00",,"46,300.00"
190,,,,,,Invoice,,07/09/2018,,13937.0,,Shipping  ,,Bard Puerto Rico:M3832,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"46,310.00"
191,,,Total M3832,,,,,,,,,,,,,,,"50,001.00",,,,"46,310.00",,"46,310.00"
192,,,M3844,,,,,,,,,,,,,,,,,,,,,
193,,,,,,Invoice,,03/14/2018,,13754.0,,"(50,000) RM3793481 Rev 8 Permafix Tack",,Bard Puerto Rico:M3844,,Svc:Micro Molding,,"50,000.00",,0.651,,"32,550.00",,"32,550.00"
194,,,,,,Invoice,,03/14/2018,,13754.0,,Shipping  ,,Bard Puerto Rico:M3844,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"32,560.00"
195,,,Total M3844,,,,,,,,,,,,,,,"50,001.00",,,,"32,560.00",,"32,560.00"
196,,,M3845,,,,,,,,,,,,,,,,,,,,,
197,,,,,,Invoice,,05/14/2018,,13844.0,,"(50,000) Echo PS Connectors RM3793783 Rev 3",,Bard Puerto Rico:M3845,,Svc:Micro Molding,,"50,000.00",,0.702,,"35,100.00",,"35,100.00"
198,,,,,,Invoice,,05/14/2018,,13844.0,,Shipping  ,,Bard Puerto Rico:M3845,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"35,110.00"
199,,,Total M3845,,,,,,,,,,,,,,,"50,001.00",,,,"35,110.00",,"35,110.00"
200,,,M3883,,,,,,,,,,,,,,,,,,,,,
201,,,,,,Invoice,,08/06/2018,,13969.0,,"Tack, .024"" Guide Wire",,Bard Puerto Rico:M3883,,Svc:Micro Molding,,"65,000.00",,0.906,,"58,890.00",,"58,890.00"
202,,,,,,Invoice,,08/06/2018,,13969.0,,Shipping  ,,Bard Puerto Rico:M3883,,Freight (Shipping  ),,1.00,,10.00,,10.00,,"58,900.00"
